;OSEBuildingID;DataYear;BuildingType;PrimaryPropertyType;PropertyName;Address;City;State;ZipCode;TaxParcelIdentificationNumber;CouncilDistrictCode;Neighborhood;Latitude;Longitude;YearBuilt;NumberofBuildings;NumberofFloors;PropertyGFATotal;PropertyGFAParking;PropertyGFABuilding(s);ListOfAllPropertyUseTypes;LargestPropertyUseType;LargestPropertyUseTypeGFA;ENERGYSTARScore;SiteEUI(kBtu/sf);SiteEUIWN(kBtu/sf);SourceEUI(kBtu/sf);SourceEUIWN(kBtu/sf);SiteEnergyUse(kBtu);SiteEnergyUseWN(kBtu);SteamUse(kBtu);Electricity(kWh);Electricity(kBtu);NaturalGas(therms);NaturalGas(kBtu);DefaultData;ComplianceStatus;TotalGHGEmissions;GHGEmissionsIntensity
1464;21896;2016;NonResidential;Warehouse;PNP Properties Building;860 South Cambridge Street;Seattle;WA;98108;2433700074;1;GREATER DUWAMISH;47.51899;-122.321;1981;1;1;28920;0;28920;Non-Refrigerated Warehouse;Non-Refrigerated Warehouse;30000;50;58.29999924;68.5;80.69999695;91.30000305;1750419;2.676572539;0;81783.10156;279044;14713.75098;1471375;FALSE;Compliant;80.09;2.77
1465;21897;2016;NonResidential;Warehouse;9243 10TH AVE S (ID21897);9243 10TH AVE S;Seattle;WA;98108;2433700075;1;GREATER DUWAMISH;47.5193;-122.3213;1978;1;1;22176;0;22176;Non-Refrigerated Warehouse;Non-Refrigerated Warehouse;22176;60;33.20000076;33.70000076;47.79999924;49.29999924;736428.625;2.604443267;0;40290;137469;5989.59082;598959;FALSE;Compliant;32.77;1.48
1466;21898;2016;NonResidential;Warehouse;Halfon Candy Company;9229 10th Avenue South;Seattle;WA;98108;2433700076;1;GREATER DUWAMISH;47.51968;-122.3212;1978;1;1;31300;0;31300;Non-Refrigerated Warehouse;Non-Refrigerated Warehouse;31300;89;11.60000038;12.69999981;26.89999962;28.10000038;362874;2.556863576;0;64745.89844;220913;1419.610107;141961;TRUE;Error - Correct Default Data;9.08;0.29
1467;21902;2016;NonResidential;Warehouse;Samson;9928 10th Ave South;Seattle;WA;98108;2433700165;1;GREATER DUWAMISH;47.51918;-122.31957;1979;1;1;22000;0;22000;Non-Refrigerated Warehouse, Parking;Non-Refrigerated Warehouse;22000;14;31.79999924;31.79999924;100;100;700627.625;2.5997024;0;205342.2031;700628;0;0;TRUE;Error - Correct Default Data;4.88;0.22
1468;21904;2016;NonResidential;Small- and Mid-Sized Office;Northgate Exec Center A;115 NE 100th Street;Seattle;WA;98125;2434900010;5;NORTH;47.70079;-122.32714;1974;1;3;39927;0;39927;Office, Parking;Office;39541;38;90.19999695;96.90000153;283.3999939;304.2999878;3568419.5;2.718590549;0;1045843.813;3568419;0;0;FALSE;Compliant;24.88;0.62
1470;21907;2016;NonResidential;Medical Office;North Seattle Professional Center;9730 3rd Avenue NE;Seattle;WA;98115;2434900090;5;NORTH;47.70007;-122.32533;1980;1;2;26930;6350;20580;Medical Office;Medical Office;26930;64;37.20000076;37.20000076;116.9000015;116.9000015;1002995;2.626008352;0;293961;1002995;0;0;FALSE;Compliant;6.99;0.26
1471;21909;2016;NonResidential;Medical Office;311 NGT Northgate Med;9800 4th Ave NE;Seattle;WA;98115;2434900130;5;NORTH;47.70087;-122.32379;1968;1;2;38745;0;38745;Medical Office, Parking;Medical Office;65069;76;44.40000153;47.20000076;119;122.9000015;2890379;2.703932667;0;659899.875;2251578;6388;638800;FALSE;Compliant;49.62;1.28
1474;21917;2016;NonResidential;Medical Office;Lakeview Medical Building;3216 NE 45th Place;Seattle;WA;98105;2436201055;4;NORTHEAST;47.66183;-122.29264;1967;1;3;38378;0;38378;Medical Office, Parking;Medical Office;35066;86;46.90000153;51.5;92.80000305;96.59999847;1645605.125;2.667749402;0;213839.4063;729620;9159.849609;915985;FALSE;Compliant;53.73;1.4
1475;21920;2016;NonResidential;Warehouse;Bowman Building 9742;4625 Union Way Place;Seattle;WA;98105;2437200015;4;NORTHEAST;47.66294;-122.29521;1980;1;2;33576;0;33576;Non-Refrigerated Warehouse;Non-Refrigerated Warehouse;33576;64;38;43.70000076;64.19999695;70.09999847;1275231.75;2.653114104;0;114338.7031;390124;8851.080078;885108;FALSE;Compliant;49.73;1.48
1476;21921;2016;NonResidential;Supermarket / Grocery Store;Safeway 0488 - 45th St;3020 NE 45th St;Seattle;WA;98105;2437200030;4;NORTHEAST;47.66205;-122.29545;1975;1;1;33005;0;33005;Parking, Supermarket/Grocery Store;Supermarket/Grocery Store;34982;21;304.2000122;309.3999939;759.2000122;760.2999878;10642754;2.784831539;0;2156999.75;7359683;32830.69922;3283070;FALSE;Compliant;225.67;6.84
